protein_ligand1_0	0.000	-3.990	-2.074	-1.021	0.000	-0.894	0.000
protein_ligand1_1	0.000	-6.464	-4.555	-1.002	0.000	-0.907	0.000
protein_ligand1_10	0.000	-3.990	-2.074	-1.021	0.000	-0.894	0.000
protein_ligand1_11	0.000	-5.630	-3.706	-0.971	0.000	-0.953	0.000
protein_ligand1_12	0.000	-6.464	-4.555	-1.002	0.000	-0.907	0.000
protein_ligand1_13	0.000	-5.173	-2.939	-1.182	0.000	-1.051	0.000
protein_ligand1_14	0.000	-5.173	-2.939	-1.182	0.000	-1.051	0.000
protein_ligand1_15	0.000	-3.990	-2.074	-1.021	0.000	-0.894	0.000
protein_ligand1_16	0.000	-3.990	-2.074	-1.021	0.000	-0.894	0.000
protein_ligand1_17	0.000	-6.464	-4.555	-1.002	0.000	-0.907	0.000
protein_ligand1_18	0.000	-5.173	-2.939	-1.182	0.000	-1.051	0.000
protein_ligand1_19	0.000	-6.464	-4.555	-1.002	0.000	-0.907	0.000
protein_ligand1_2	0.000	-5.173	-2.939	-1.182	0.000	-1.051	0.000
protein_ligand1_20	0.000	-6.464	-4.555	-1.002	0.000	-0.907	0.000
protein_ligand1_21	0.000	-3.990	-2.074	-1.021	0.000	-0.894	0.000
protein_ligand1_22	0.000	-5.173	-2.939	-1.182	0.000	-1.051	0.000
protein_ligand1_23	0.000	-6.464	-4.555	-1.002	0.000	-0.907	0.000
protein_ligand1_24	0.000	-5.630	-3.706	-0.971	0.000	-0.953	0.000
protein_ligand1_25	0.000	-3.990	-2.074	-1.021	0.000	-0.894	0.000
protein_ligand1_26	0.000	-6.464	-4.555	-1.002	0.000	-0.907	0.000
protein_ligand1_27	0.000	-6.464	-4.555	-1.002	0.000	-0.907	0.000
protein_ligand1_28	0.000	-3.990	-2.074	-1.021	0.000	-0.894	0.000
protein_ligand1_29	0.000	-3.990	-2.074	-1.021	0.000	-0.894	0.000
protein_ligand1_3	0.000	-6.464	-4.555	-1.002	0.000	-0.907	0.000
protein_ligand1_30	0.000	-5.173	-2.939	-1.182	0.000	-1.051	0.000
protein_ligand1_31	0.000	-6.464	-4.555	-1.002	0.000	-0.907	0.000
protein_ligand1_4	0.000	-5.173	-2.939	-1.182	0.000	-1.051	0.000
protein_ligand1_5	0.000	-3.990	-2.074	-1.021	0.000	-0.894	0.000
protein_ligand1_6	0.000	-3.990	-2.074	-1.021	0.000	-0.894	0.000
protein_ligand1_7	0.000	-3.990	-2.074	-1.021	0.000	-0.894	0.000
protein_ligand1_8	0.000	-5.630	-3.706	-0.971	0.000	-0.953	0.000
protein_ligand1_9	0.000	-5.173	-2.939	-1.182	0.000	-1.051	0.000
